Lexeme : fun ; Token :[FUN]; Line no. 1
Lexeme : main ; Token :[IDENTIFIER]; Line no. 1
Lexeme : ( ; Token :[OP_PAR]; Line no. 1
Lexeme : ) ; Token :[CL_PAR]; Line no. 1
Lexeme : : ; Token :[COL]; Line no. 1
Lexeme : int ; Token :[INT]; Line no. 2
Lexeme : a ; Token :[IDENTIFIER]; Line no. 2
Lexeme : : ; Token :[COL]; Line no. 2
Lexeme : int ; Token :[INT]; Line no. 3
Lexeme : b ; Token :[IDENTIFIER]; Line no. 3
Lexeme : : ; Token :[COL]; Line no. 3
Lexeme : a ; Token :[IDENTIFIER]; Line no. 4
Lexeme : = ; Token :[ASSIGN_OP]; Line no. 4
Lexeme : ) ; Token :[CL_PAR]; Line no. 4
Lexeme : a ; Token :[IDENTIFIER]; Line no. 4
Lexeme : + ; Token :[ADDITION_OP]; Line no. 4
Lexeme : b ; Token :[IDENTIFIER]; Line no. 4
Lexeme : : ; Token :[COL]; Line no. 4
Lexeme : endfun ; Token :[ENDFUN]; Line no. 5
Lexeme : : ; Token :[COL]; Line no. 5
